,DE
2010-01-01 00:00:00,-163356.22317154217
2010-01-01 01:00:00,-166280.30868362775
2010-01-01 02:00:00,-163251.12166523404
2010-01-01 03:00:00,-173046.34539189824
2010-01-01 04:00:00,-173761.59015533474
2010-01-01 05:00:00,-173405.2429253343
2010-01-01 06:00:00,-172389.8143404024
2010-01-01 07:00:00,-173981.40036249548
2010-01-01 08:00:00,-177716.05491977846
2010-01-01 09:00:00,-167577.76615584697
2010-01-01 10:00:00,-162406.28424579592
2010-01-01 11:00:00,-144218.02964087945
2010-01-01 12:00:00,-135254.03090651118
2010-01-01 13:00:00,-129355.72268874147
2010-01-01 14:00:00,-135914.59311982087
2010-01-01 15:00:00,-144307.55570754764
2010-01-01 16:00:00,-143357.1011456104
2010-01-01 17:00:00,-153217.15048612154
2010-01-01 18:00:00,-153022.40172488336
2010-01-01 19:00:00,-158849.0164321275
2010-01-01 20:00:00,-166348.7319990808
2010-01-01 21:00:00,-175176.5137201821
2010-01-01 22:00:00,-190001.15158996795
2010-01-01 23:00:00,-195987.29286148906
2010-01-02 00:00:00,-192552.9478568003
2010-01-02 01:00:00,-198046.3049930845
2010-01-02 02:00:00,-197656.57634594938
2010-01-02 03:00:00,-198158.49293094172
2010-01-02 04:00:00,-199794.08867315284
2010-01-02 05:00:00,-199393.28595320493
2010-01-02 06:00:00,-197815.79285686254
2010-01-02 07:00:00,-195292.79535357552
2010-01-02 08:00:00,-195474.67818485096
2010-01-02 09:00:00,-186615.6018534766
2010-01-02 10:00:00,-188038.00470773972
2010-01-02 11:00:00,-171005.63109221536
2010-01-02 12:00:00,-161742.0032078404
2010-01-02 13:00:00,-155697.54860059815
2010-01-02 14:00:00,-164561.86000971525
2010-01-02 15:00:00,-171506.8665568373
2010-01-02 16:00:00,-171941.82681992068
2010-01-02 17:00:00,-175677.18860904078
2010-01-02 18:00:00,-189725.6946475678
2010-01-02 19:00:00,-194283.02022688702
2010-01-02 20:00:00,-195908.8759539523
2010-01-02 21:00:00,-195928.82423498534
2010-01-02 22:00:00,-197308.78083936675
2010-01-02 23:00:00,-200512.07039277436
2010-01-03 00:00:00,-205235.50503619437
2010-01-03 01:00:00,-209072.7281123845
2010-01-03 02:00:00,-210640.21087729972
2010-01-03 03:00:00,-211053.59380812352
2010-01-03 04:00:00,-212212.58565088102
2010-01-03 05:00:00,-211095.38221329017
2010-01-03 06:00:00,-208212.9248180995
2010-01-03 07:00:00,-205952.2746528714
2010-01-03 08:00:00,-206525.38477428953
2010-01-03 09:00:00,-197286.6134968877
2010-01-03 10:00:00,-191397.0320943191
2010-01-03 11:00:00,-176320.41752587588
2010-01-03 12:00:00,-169533.91375900345
2010-01-03 13:00:00,-160252.81997844594
2010-01-03 14:00:00,-164391.93703647502
2010-01-03 15:00:00,-175537.9681771109
2010-01-03 16:00:00,-170887.77239864244
2010-01-03 17:00:00,-179519.1955133464
2010-01-03 18:00:00,-182548.33814983416
2010-01-03 19:00:00,-199185.95529903198
2010-01-03 20:00:00,-206300.3948769285
2010-01-03 21:00:00,-213537.56355692755
2010-01-03 22:00:00,-221433.58563145393
2010-01-03 23:00:00,-226295.38535381338
2010-01-04 00:00:00,-242298.82537154222
2010-01-04 01:00:00,-248626.48888362772
2010-01-04 02:00:00,-247830.09266523406
2010-01-04 03:00:00,-248167.1805918984
2010-01-04 04:00:00,-250036.60745533474
2010-01-04 05:00:00,-248815.4714253343
2010-01-04 06:00:00,-246982.14424040238
2010-01-04 07:00:00,-247307.49856249546
2010-01-04 08:00:00,-237290.3358197785
2010-01-04 09:00:00,-221486.16775584698
2010-01-04 10:00:00,-203463.35104579595
2010-01-04 11:00:00,-182294.3882408793
2010-01-04 12:00:00,-172679.10940651115
2010-01-04 13:00:00,-166194.47228874147
2010-01-04 14:00:00,-163114.18721982086
2010-01-04 15:00:00,-180793.44910754764
2010-01-04 16:00:00,-179955.67384561044
2010-01-04 17:00:00,-190076.46738612157
2010-01-04 18:00:00,-189928.51242488346
2010-01-04 19:00:00,-196892.4802321275
2010-01-04 20:00:00,-205723.2801990808
2010-01-04 21:00:00,-226900.92392018207
2010-01-04 22:00:00,-233074.72948996793
2010-01-04 23:00:00,-240351.401961489
2010-01-05 00:00:00,-242298.82537154222
2010-01-05 01:00:00,-248626.48888362772
2010-01-05 02:00:00,-247830.09266523406
2010-01-05 03:00:00,-248167.1805918984
2010-01-05 04:00:00,-250036.60745533474
2010-01-05 05:00:00,-261943.13832533424
2010-01-05 06:00:00,-259920.18524040247
2010-01-05 07:00:00,-259937.33806249546
2010-01-05 08:00:00,-249251.31931977844
2010-01-05 09:00:00,-221486.16775584698
2010-01-05 10:00:00,-203463.35104579595
2010-01-05 11:00:00,-182294.3882408793
2010-01-05 12:00:00,-172679.10940651115
2010-01-05 13:00:00,-166194.47228874147
2010-01-05 14:00:00,-172135.3927198209
2010-01-05 15:00:00,-180793.44910754764
2010-01-05 16:00:00,-190083.46874561044
2010-01-05 17:00:00,-199819.2148861215
2010-01-05 18:00:00,-199883.50112488348
2010-01-05 19:00:00,-206739.49173212747
2010-01-05 20:00:00,-216194.7880990808
2010-01-05 21:00:00,-226900.92392018207
2010-01-05 22:00:00,-244557.12928996788
2010-01-05 23:00:00,-252229.02506148897
2010-01-06 00:00:00,-254586.86387154215
2010-01-06 01:00:00,-261427.05038362776
2010-01-06 02:00:00,-260664.49386523402
2010-01-06 03:00:00,-261140.77589189832
2010-01-06 04:00:00,-262870.38735533465
2010-01-06 05:00:00,-261943.13832533424
2010-01-06 06:00:00,-259920.18524040247
2010-01-06 07:00:00,-259937.33806249546
2010-01-06 08:00:00,-249251.31931977844
2010-01-06 09:00:00,-234141.4374558469
2010-01-06 10:00:00,-214187.04494579593
2010-01-06 11:00:00,-192393.1167408795
2010-01-06 12:00:00,-182286.45560651118
2010-01-06 13:00:00,-175305.4775887415
2010-01-06 14:00:00,-172135.3927198209
2010-01-06 15:00:00,-180793.44910754764
2010-01-06 16:00:00,-190083.46874561044
2010-01-06 17:00:00,-190076.46738612157
2010-01-06 18:00:00,-189928.51242488346
2010-01-06 19:00:00,-206739.49173212747
2010-01-06 20:00:00,-216194.7880990808
2010-01-06 21:00:00,-226900.92392018207
2010-01-06 22:00:00,-233074.72948996793
2010-01-06 23:00:00,-252229.02506148897
2010-01-07 00:00:00,-254586.86387154215
2010-01-07 01:00:00,-261427.05038362776
2010-01-07 02:00:00,-260664.49386523402
2010-01-07 03:00:00,-261140.77589189832
2010-01-07 04:00:00,-262870.38735533465
2010-01-07 05:00:00,-261943.13832533424
2010-01-07 06:00:00,-259920.18524040247
2010-01-07 07:00:00,-259937.33806249546
2010-01-07 08:00:00,-249251.31931977844
2010-01-07 09:00:00,-221486.16775584698
2010-01-07 10:00:00,-203463.35104579595
2010-01-07 11:00:00,-182294.3882408793
2010-01-07 12:00:00,-163457.19100651116
2010-01-07 13:00:00,-157113.6945887415
2010-01-07 14:00:00,-163114.18721982086
2010-01-07 15:00:00,-171429.87210754762
2010-01-07 16:00:00,-179955.67384561044
2010-01-07 17:00:00,-190076.46738612157
2010-01-07 18:00:00,-189928.51242488346
2010-01-07 19:00:00,-196892.4802321275
2010-01-07 20:00:00,-205723.2801990808
2010-01-07 21:00:00,-226900.92392018207
2010-01-07 22:00:00,-233074.72948996793
2010-01-07 23:00:00,-240351.401961489
2010-01-08 00:00:00,-242298.82537154222
2010-01-08 01:00:00,-248626.48888362772
2010-01-08 02:00:00,-247830.09266523406
2010-01-08 03:00:00,-248167.1805918984
2010-01-08 04:00:00,-250036.60745533474
2010-01-08 05:00:00,-248815.4714253343
2010-01-08 06:00:00,-246982.14424040238
2010-01-08 07:00:00,-247307.49856249546
2010-01-08 08:00:00,-237290.3358197785
2010-01-08 09:00:00,-221486.16775584698
2010-01-08 10:00:00,-203463.35104579595
2010-01-08 11:00:00,-192393.1167408795
2010-01-08 12:00:00,-172679.10940651115
2010-01-08 13:00:00,-166194.47228874147
2010-01-08 14:00:00,-163114.18721982086
2010-01-08 15:00:00,-171429.87210754762
2010-01-08 16:00:00,-170748.19434561036
2010-01-08 17:00:00,-171026.46608612154
2010-01-08 18:00:00,-170872.51442488335
2010-01-08 19:00:00,-177391.79223212754
2010-01-08 20:00:00,-185491.1268990808
2010-01-08 21:00:00,-195233.5318201821
2010-01-08 22:00:00,-200355.31258996783
2010-01-08 23:00:00,-207028.40896148898
2010-01-09 00:00:00,-203541.9502568004
2010-01-09 01:00:00,-209335.61319308446
2010-01-09 02:00:00,-209401.61064594932
2010-01-09 03:00:00,-209814.82003094174
2010-01-09 04:00:00,-211720.9317731528
2010-01-09 05:00:00,-211104.4324532049
2010-01-09 06:00:00,-209224.97325686258
2010-01-09 07:00:00,-206728.9793535755
2010-01-09 08:00:00,-195474.67818485096
2010-01-09 09:00:00,-197122.71935347663
2010-01-09 10:00:00,-188038.00470773972
2010-01-09 11:00:00,-181945.9990922153
2010-01-09 12:00:00,-171924.00170784045
2010-01-09 13:00:00,-165349.18330059815
2010-01-09 14:00:00,-164561.86000971525
2010-01-09 15:00:00,-162820.0868568373
2010-01-09 16:00:00,-171941.82681992068
2010-01-09 17:00:00,-175677.18860904078
2010-01-09 18:00:00,-180940.23324756784
2010-01-09 19:00:00,-184996.51832688702
2010-01-09 20:00:00,-186277.63895395238
2010-01-09 21:00:00,-185794.1029349854
2010-01-09 22:00:00,-186954.61983936667
2010-01-09 23:00:00,-189470.95429277435
2010-01-10 00:00:00,-205235.50503619437
2010-01-10 01:00:00,-209072.7281123845
2010-01-10 02:00:00,-210640.21087729972
2010-01-10 03:00:00,-211053.59380812352
2010-01-10 04:00:00,-212212.58565088102
2010-01-10 05:00:00,-211095.38221329017
2010-01-10 06:00:00,-208212.9248180995
2010-01-10 07:00:00,-205952.2746528714
2010-01-10 08:00:00,-195425.91517428943
2010-01-10 09:00:00,-197286.6134968877
2010-01-10 10:00:00,-191397.0320943191
2010-01-10 11:00:00,-187260.78552587598
2010-01-10 12:00:00,-179715.91225900347
2010-01-10 13:00:00,-169904.45467844597
2010-01-10 14:00:00,-164391.93703647502
2010-01-10 15:00:00,-166601.00517711084
2010-01-10 16:00:00,-161798.42529864245
2010-01-10 17:00:00,-161296.87281334642
2010-01-10 18:00:00,-173114.9834498342
2010-01-10 19:00:00,-179685.26729903204
2010-01-10 20:00:00,-186068.2415769285
2010-01-10 21:00:00,-192587.3721569275
2010-01-10 22:00:00,-210618.2222314539
2010-01-10 23:00:00,-215469.58225381337
2010-01-11 00:00:00,-218810.37307154224
2010-01-11 01:00:00,-223666.0824836277
2010-01-11 02:00:00,-221323.491465234
2010-01-11 03:00:00,-221684.5463918983
2010-01-11 04:00:00,-237174.7045553348
2010-01-11 05:00:00,-236364.3941253343
2010-01-11 06:00:00,-234538.80794040236
2010-01-11 07:00:00,-235163.79276249546
2010-01-11 08:00:00,-224423.80761977853
2010-01-11 09:00:00,-210492.91425584696
2010-01-11 10:00:00,-193308.45034579586
2010-01-11 11:00:00,-172716.41104087935
2010-01-11 12:00:00,-163457.19100651116
2010-01-11 13:00:00,-157113.6945887415
2010-01-11 14:00:00,-163114.18721982086
2010-01-11 15:00:00,-171429.87210754762
2010-01-11 16:00:00,-179955.67384561044
2010-01-11 17:00:00,-180329.17308612156
2010-01-11 18:00:00,-180305.86912488338
2010-01-11 19:00:00,-196892.4802321275
2010-01-11 20:00:00,-205723.2801990808
2010-01-11 21:00:00,-216183.7232201821
2010-01-11 22:00:00,-221831.94328996792
2010-01-11 23:00:00,-240351.401961489
2010-01-12 00:00:00,-242298.82537154222
2010-01-12 01:00:00,-248626.48888362772
2010-01-12 02:00:00,-247830.09266523406
2010-01-12 03:00:00,-261140.77589189832
2010-01-12 04:00:00,-262870.38735533465
2010-01-12 05:00:00,-261943.13832533424
2010-01-12 06:00:00,-259920.18524040247
2010-01-12 07:00:00,-259937.33806249546
2010-01-12 08:00:00,-249251.31931977844
2010-01-12 09:00:00,-221486.16775584698
2010-01-12 10:00:00,-203463.35104579595
2010-01-12 11:00:00,-182294.3882408793
2010-01-12 12:00:00,-172679.10940651115
2010-01-12 13:00:00,-166194.47228874147
2010-01-12 14:00:00,-172135.3927198209
2010-01-12 15:00:00,-191471.29510754763
2010-01-12 16:00:00,-199846.86124561043
2010-01-12 17:00:00,-199819.2148861215
2010-01-12 18:00:00,-199883.50112488348
2010-01-12 19:00:00,-206739.49173212747
2010-01-12 20:00:00,-226758.9013990808
2010-01-12 21:00:00,-237893.15992018205
2010-01-12 22:00:00,-244557.12928996788
2010-01-12 23:00:00,-252229.02506148897
2010-01-13 00:00:00,-266813.5907715421
2010-01-13 01:00:00,-274394.90278362774
2010-01-13 02:00:00,-260664.49386523402
2010-01-13 03:00:00,-261140.77589189832
2010-01-13 04:00:00,-262870.38735533465
2010-01-13 05:00:00,-261943.13832533424
2010-01-13 06:00:00,-259920.18524040247
2010-01-13 07:00:00,-247307.49856249546
2010-01-13 08:00:00,-237290.3358197785
2010-01-13 09:00:00,-221486.16775584698
2010-01-13 10:00:00,-203463.35104579595
2010-01-13 11:00:00,-182294.3882408793
2010-01-13 12:00:00,-163457.19100651116
2010-01-13 13:00:00,-157113.6945887415
2010-01-13 14:00:00,-154563.66501982085
2010-01-13 15:00:00,-162492.90910754763
2010-01-13 16:00:00,-170748.19434561036
2010-01-13 17:00:00,-171026.46608612154
2010-01-13 18:00:00,-170872.51442488335
2010-01-13 19:00:00,-177391.79223212754
2010-01-13 20:00:00,-195110.15949908082
2010-01-13 21:00:00,-205404.01212018207
2010-01-13 22:00:00,-211016.57988996786
2010-01-13 23:00:00,-218075.23936148902
2010-01-14 00:00:00,-218810.37307154224
2010-01-14 01:00:00,-236450.50158362775
2010-01-14 02:00:00,-235140.49336523406
2010-01-14 03:00:00,-235385.18399189826
2010-01-14 04:00:00,-237174.7045553348
2010-01-14 05:00:00,-236364.3941253343
2010-01-14 06:00:00,-234538.80794040236
2010-01-14 07:00:00,-221972.54826249555
2010-01-14 08:00:00,-213096.56681977853
2010-01-14 09:00:00,-199720.57795584702
2010-01-14 10:00:00,-183236.57104579592
2010-01-14 11:00:00,-161776.04304087936
2010-01-14 12:00:00,-144057.40680651114
2010-01-14 13:00:00,-138225.39678874146
2010-01-14 14:00:00,-144942.65051982083
2010-01-14 15:00:00,-153806.12940754762
2010-01-14 16:00:00,-161658.8472456104
2010-01-14 17:00:00,-162106.85038612157
2010-01-14 18:00:00,-170872.51442488335
2010-01-14 19:00:00,-177391.79223212754
2010-01-14 20:00:00,-185491.1268990808
2010-01-14 21:00:00,-205404.01212018207
2010-01-14 22:00:00,-211016.57988996786
2010-01-14 23:00:00,-228901.04246148898
2010-01-15 00:00:00,-230493.57207154215
2010-01-15 01:00:00,-236450.50158362775
2010-01-15 02:00:00,-235140.49336523406
2010-01-15 03:00:00,-235385.18399189826
2010-01-15 04:00:00,-237174.7045553348
2010-01-15 05:00:00,-236364.3941253343
2010-01-15 06:00:00,-246982.14424040238
2010-01-15 07:00:00,-235163.79276249546
2010-01-15 08:00:00,-224423.80761977853
2010-01-15 09:00:00,-199720.57795584702
2010-01-15 10:00:00,-183236.57104579592
2010-01-15 11:00:00,-172716.41104087935
2010-01-15 12:00:00,-153275.1925065111
2010-01-15 13:00:00,-147462.0598887415
2010-01-15 14:00:00,-144942.65051982083
2010-01-15 15:00:00,-153806.12940754762
2010-01-15 16:00:00,-161658.8472456104
2010-01-15 17:00:00,-171026.46608612154
2010-01-15 18:00:00,-170872.51442488335
2010-01-15 19:00:00,-177391.79223212754
2010-01-15 20:00:00,-185491.1268990808
2010-01-15 21:00:00,-205404.01212018207
2010-01-15 22:00:00,-211016.57988996786
2010-01-15 23:00:00,-218075.23936148902
2010-01-16 00:00:00,-214808.63645680025
2010-01-16 01:00:00,-221172.7060930845
2010-01-16 02:00:00,-221079.41414594935
2010-01-16 03:00:00,-221935.39033094177
2010-01-16 04:00:00,-237671.17507315287
2010-01-16 05:00:00,-236858.7883532049
2010-01-16 06:00:00,-234535.05045686252
2010-01-16 07:00:00,-231414.5272535755
2010-01-16 08:00:00,-217901.38858485094
2010-01-16 09:00:00,-197122.71935347663
2010-01-16 10:00:00,-188038.00470773972
2010-01-16 11:00:00,-171005.63109221536
2010-01-16 12:00:00,-161742.0032078404
2010-01-16 13:00:00,-155697.54860059815
2010-01-16 14:00:00,-154940.84550971526
2010-01-16 15:00:00,-162820.0868568373
2010-01-16 16:00:00,-171941.82681992068
2010-01-16 17:00:00,-175677.18860904078
2010-01-16 18:00:00,-180940.23324756784
2010-01-16 19:00:00,-184996.51832688702
2010-01-16 20:00:00,-195908.8759539523
2010-01-16 21:00:00,-195928.82423498534
2010-01-16 22:00:00,-186954.61983936667
2010-01-16 23:00:00,-189470.95429277435
2010-01-17 00:00:00,-194246.50263619437
2010-01-17 01:00:00,-197783.41991238453
2010-01-17 02:00:00,-187568.60247729978
2010-01-17 03:00:00,-187984.68300812368
2010-01-17 04:00:00,-188824.310650881
2010-01-17 05:00:00,-187961.21211329015
2010-01-17 06:00:00,-171374.00841809946
2010-01-17 07:00:00,-169455.43015287133
2010-01-17 08:00:00,-161857.61047428945
2010-01-17 09:00:00,-165143.80169688768
2010-01-17 10:00:00,-162022.5062943191
2010-01-17 11:00:00,-158762.40412587588
2010-01-17 12:00:00,-151512.75215900346
2010-01-17 13:00:00,-142146.48277844596
2010-01-17 14:00:00,-136771.13553647505
2010-01-17 15:00:00,-130105.90307711085
2010-01-17 16:00:00,-125162.46689864241
2010-01-17 17:00:00,-124520.8130133464
2010-01-17 18:00:00,-127627.73374983417
2010-01-17 19:00:00,-133891.95259903203
2010-01-17 20:00:00,-139697.32897692852
2010-01-17 21:00:00,-144739.00745692753
2010-01-17 22:00:00,-150175.79263145398
2010-01-17 23:00:00,-152539.88235381345
2010-01-18 00:00:00,-153714.90097154217
2010-01-18 01:00:00,-166280.30868362775
