GDP at current market prices (Million euro),,,,,,,,,,,,,,,,,,
source: nama_10r_2gdp (eurostat) Swiss Federal Statistical Office (FSO) CHF-EURO 1.07 (2015),,,,,,,,,,,,,,,,,,
nuts_2,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
AL01,893.0249634,1036.192505,1089.584961,1164.476196,1365.05249,1529.71875,1675.248779,1845.112427,2079,2071,2224,2215,2297,2277,2312,2382.785156,,
AL02,1807.097778,2096.807129,2204.850342,2356.397949,2762.277832,3095.491455,3389.981445,3733.712402,4207,4153,4211,4195,4294,4319,4517,4655.293945,,
AL03,1079.877319,1253.000488,1317.564575,1408.12561,1650.669556,1849.789795,2025.769897,2231.175049,2514,2436,2560,2859,2995,3030,3133,3228.921143,,
AT11,4797.11,4959.32,5197.97,5335.41,5636.53,5720.65,5903.71,6283,6410,6441.6,6698.37,7012.58,7365.43,7539.32,7737.13,8033.86,8334.08,8764.81
AT12,33533.84,34117.68,34826.06,35717.79,37926,39188.57,41460.38,44580.08,46347.7,45200.08,46285.87,48511.32,49802.6,50470.13,52049.38,53849.85,55318.99,57349.11
AT13,57659.46,59843.01,61964.41,62665.56,64529.61,67364.39,71019.25,73964.95,76693.89,76312.79,78130.06,80747.85,81981.67,83117.69,84749.77,87265.78,91221.72,93864.68
AT21,12378.81,12584.04,12971.95,13289.85,13873.75,14568.19,15230.89,16364.24,16762.73,16157.87,16582.06,17548.27,17771.87,17907.85,18419.82,18721.76,19169.5,20233.74
AT22,27128.72,28084.14,28541.21,29339.69,31033.42,32520.86,34120.52,36539.05,37601.39,36635.21,37576.19,39466.78,40956,41303.53,42710.57,43673.26,45129.66,47223.27
AT31,35248.29,36472.01,37245.2,38414.02,39963.72,42531.43,44733.75,47409.72,49712.78,48055.03,49592.4,52574.13,53978.67,55424.89,57136.85,58679.14,60697.45,63395.24
AT32,15240.72,15682.49,16163.12,16542.11,17460.23,18295.72,19451.99,20895.93,21340.18,20852.16,21867.35,22947.39,23886.5,23965.79,24504.84,25615.29,26785.71,27618.47
AT33,17974.88,18700.38,19341.96,19990.15,20794.37,22166.1,23576.74,24818.47,25318.72,25155.92,25591.41,26948.49,28190.68,28939.63,29853.47,31237.31,32392.99,33783.44
AT34,9538.19,9974.58,10375.77,10463.84,11024.09,11611.14,12218.55,13015.03,13458.09,13109.9,13443.88,14241.7,14583.63,15116.8,15860.95,17049.95,17055.14,17531.87
BA01,,,,,,,,,,,,,,,,,,
BA02,,,,,,,,,,,,,,,,,,
BA03,,,,,,,,,,,,,,,,,,
BE10,49036.42,51061.17,53064.04,53859.38,56742.1,59425.05,60962.88,63531.22,64674.97,64866.62,67690.83,70775.05,71868.34,72199.83,72154.09,74521.79,76430.45,77694.47
BE21,48656.52,49201.09,51550.46,52806.73,56413.46,59819.52,62098.37,65818.48,67567.61,65375.51,68762.54,71544.99,73482.51,74442.77,76447.87,78861.05,82041.53,85752.71
BE22,16627.05,17140.21,17767.58,18350.74,18990.28,19352.66,20718.37,22037.06,22807.79,21646.01,22717.2,23999.46,24465.56,24665.61,25590.19,25880,26653.62,27810.46
